ID Group,Group,ID Industry,Industry,ID Year,Year,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Construction (Group)",2,"Construction",2017,"2017",69870,4776.343057193442,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2017,"2017",52778,3543.7038533150594,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2017,"2017",119379,6078.478263513,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2017,"2017",195379,7388.1095010834815,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2017,"2017",97939,5756.29481524357,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2017,"2017",27981,2712.4300912650265,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2017,"2017",1173,608.738038896864,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2017,"2017",57563,4716.626866734319,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2017,"2017",63430,4442.245490740015,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2017,"2017",31900,3053.985101469881,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
2,"Manufacturing (Group)",3,"Manufacturing",2017,"2017",38208,2934.9868824238383,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
6,"Information (Group)",8,"Information",2017,"2017",15729,2261.4022198627117,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2017,"2017",7630,1301.0518821322999,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2017,"2017",36068,2954.310917963781,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
6,"Information (Group)",8,"Information",2016,"2016",17534,2721.6548274900697,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
12,"Public Administration (Group)",19,"Public Administration",2016,"2016",32103,2653.226149426392,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2016,"2016",27498,2634.1323049535686,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2016,"2016",49154,3927.992489809521,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2016,"2016",30405,3281.4158529512833,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2016,"2016",54509,3974.2677312934015,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
4,"Retail Trade (Group)",5,"Retail Trade",2016,"2016",122480,6682.8674234942,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2016,"2016",872,493.08924141579075,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2016,"2016",17306,2302.357270277573,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2016,"2016",58526,4030.6309679751134,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2016,"2016",5072,995.3813339620148,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
